Marque,Model,Année,Kilométrage,Code Postal,Prix
BMW X3 G01,(G01) XDRIVE30DA 265 M SPORT,2020,27 930 km,66,61 620 €
VOLKSWAGEN T-CROSS,1.0 TSI 110 CARAT DSG,2020,20 570 km,25,30 120 €
BMW SERIE 5 F11 TOURING,(F11) (2) TOURING 530D XDRIVE 258 EXECUTIVE BVA8,2017,116 492 km,78,32 540 €
NISSAN QASHQAI 2,II 1.5 DCI 110 N-CONNECTA,2015,104 610 km,31,16 550 €
VOLKSWAGEN GOLF 8 R,VIII 2.0 TSI 320 R DSG7,2020,59 km,92,81 300 €
PORSCHE CAYENNE 3 COUPE,III COUPE E-HYBRID,2018,2 199 km,69,190 630 €
RENAULT GRAND SCENIC 4,IV 1.7 DCI BLUE 120 BUSINESS EDC,2021,58 880 km,28,22 890 €
PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S ACTIVE,2021,20 744 km,61,21 940 €
KIA SPORTAGE 4,IV (2) 1.6 CRDI 115 ISG ACTIVE 2WD,2018,103 541 km,69,19 070 €
PEUGEOT 5008 (2E GENERATION),II 1.2 PURETECH 130 S&S GT LINE E6,2020,35 340 km,69,34 690 €
MASERATI GHIBLI 3,III 3.0 V6 430 S Q4 33CV GRANSPORT AUTO,2019,46 617 km,69,83 500 €
FIAT DUCATO 3,III (2) 3.3 MH2 2.0 MULTIJET 115 PACK PRO NAV,2019,67 710 km,66,24 370 €
PORSCHE 911 TYPE 997 CABRIOLET,(997) CABRIOLET 3.8 355 CARRERA 4S,2007,94 285 km,33,64 290 €
VOLKSWAGEN T-ROC,1.5 TSI 150 EVO FIRST EDITION,2019,59 821 km,69,26 540 €
PEUGEOT 308 (2E GENERATION),II 1.6 BLUEHDI 100 S&S ACTIVE BUSINESS,2015,148 830 km,25,13 180 €
AUDI A5 (2E GENERATION) CABRIOLET,II CABRIOLET 3.0 TDI 218 S LINE QUATTRO S TRONIC 7,2016,86 699 km,30,43 080 €
PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 75 S&S ACTIVE BUSINESS,2021,23 345 km,78,18 040 €
MERCEDES GLC,220 D EXECUTIVE 4MATIC,2018,91 520 km,24,38 510 €
FIAT 500 C (3E GENERATION),III C E 95 (RED),2022,55 km,92,24 570 €
RENAULT CLIO 4,IV (2) 1.5 DCI 75 BUSINESS,2018,95 499 km,63,11 110 €
RENAULT KADJAR,1.5 DCI 110 ENERGY INTENS,2019,45 951 km,24,20 690 €
VOLKSWAGEN GOLF 7,VII (2) 1.0 TSI 110 BLUEMOTION TECHNOLOGY SOUND DSG7 3P,2017,12 240 km,76,20 790 €
RENAULT TALISMAN,1.6 DCI 130 ENERGY INITIALE PARIS,2015,69 543 km,37,20 860 €
FIAT TIPO 2,II (2) 1.0 FIREFLY TURBO 100 S/S LIFE PLUS,2022,56 km,92,22 260 €
RENAULT MEGANE 4 SOCIETE,IV SOCIETE 1.5 DCI 115 BLUE AIR NAV,2018,48 110 km,35,15 660 €
JAGUAR E-PACE,D150 AWD S BVA,2019,100 302 km,24,35 980 €
TOYOTA RAV 4 (5E GENERATION),V HYBRIDE 218 2WD COLLECTION,2018,50 898 km,78,41 980 €
RENAULT SCENIC 3,III 1.9 DCI 130 FAP DYNAMIQUE,2010,142 999 km,77,8 130 €
MINI MINI 3 5P,III 1.5 ONE D 95 EDITION SHOREDITCH 5P,2017,53 808 km,66,22 050 €
PEUGEOT 3008 (2E GENERATION),II 1.5 BLUEHDI 130 S&S ALLURE BUSINESS EAT8,2020,73 198 km,69,29 050 €
OPEL CORSA 6,VI 1.2 75 EDITION 5P,2021,29 880 km,27,16 780 €
PEUGEOT 308 (2E GENERATION),II (2) 1.2 PURETECH 110 S&S 6CV ACTIVE,2022,10 486 km,33,21 290 €
PEUGEOT 2008 (2E GENERATION),II 1.5 BLUEHDI 110 6CV S&S GT,2020,16 028 km,47,31 520 €
MERCEDES SLC AMG,43 AMG 390,2019,4 345 km,77,89 150 €
BMW SERIE 6 F12 CABRIOLET M6,(F12) CABRIOLET M 560 DKG 7 DRIVELOGIC,2013,63 684 km,37,69 580 €
BMW SERIE 3 E92 COUPE,(E92) (2) COUPE 325DA 204 SPORT DESIGN,2011,166 924 km,95,19 680 €
MINI COUNTRYMAN,COOPER D BVA,2014,154 265 km,57,14 020 €
KIA SPORTAGE 4,IV 1.7 CRDI 141 ISG PREMIUM 2WD DCT7,2020,51 985 km,26,25 410 €
MASERATI GHIBLI 3,III 3.0 V6 S Q4,2013,50 295 km,69,50 280 €
PEUGEOT 3008 (2E GENERATION),II 1.6 BLUEHDI 120 S&S ALLURE EAT6,2018,56 808 km,24,27 230 €
SKODA SCALA,1.5 TSI 150 STYLE DSG7,2018,45 347 km,30,23 390 €
PEUGEOT 5008 (2E GENERATION),II 1.5 BLUEHDI 130 S&S ACTIVE BUSINESS EAT8,2018,71 450 km,78,31 570 €
RENAULT CLIO 5,V 1.5 BLUE DCI 85 ZEN,2020,57 195 km,24,17 200 €
FERRARI CALIFORNIA T,(2) 3.9 V8 T 560,2016,8 468 km,68,462 830 €
VOLKSWAGEN T-CROSS,1.0 TSI 110 ACTIVE,2022,18 762 km,69,24 750 €
AUDI Q5 (2E GENERATION),II 50 TDI 286 S LINE QUATTRO TIPTRONIC 8,2018,141 705 km,31,48 040 €
VOLKSWAGEN GOLF 8,VIII 1.5 ETSI OPF 150 R-LINE 1ST DSG7,2020,10 791 km,69,34 850 €
PEUGEOT 2008,(2) 1.2 PURETECH 130 S&S 7CV ALLURE,2018,69 643 km,47,17 800 €
RENAULT ZOE,LIFE CHARGE RAPIDE TYPE 2,2017,22 527 km,78,9 710 €
RENAULT CAPTUR,(2) 1.5 DCI 90 ENERGY INTENS EDC,2017,90 565 km,91,16 120 €
PORSCHE CAYENNE 2,II 3.0 V6 D 245 TIPTRONIC,2011,109 230 km,66,41 670 €
AUDI RS4 (4E GENERATION) AVANT,IV AVANT 4.2 V8 FSI 450 QUATTRO S TRONIC 7,2011,139 084 km,74,47 540 €
MINI MINI 3 5P,III COOPER SD 170 FINITION BUSINESS BVA8 5P,2019,65 906 km,78,26 620 €
SKODA RAPID SPACEBACK,SPACEBACK 1.4 TDI 90 GREENTEC AMBITION,2016,104 823 km,57,14 440 €
AUDI Q5 (2E GENERATION),II 3.0 V6 TDI 286 S LINE QUATTRO TIPTRONIC 8,2016,106 549 km,57,46 050 €
PORSCHE 911 TYPE 992 CABRIOLET,(992) CABRIOLET 3.0 450 CARRERA 4S PDK,2021,9 266 km,27,220 230 €
PEUGEOT PARTNER 2 FOURGON,II (2) 1.6 BLUEHDI 100 PACK CLIM 121 L2,2017,143 990 km,24,11 780 €
AUDI A3 (3E GENERATION),III 1.8 TFSI 180 AMBITION,2015,115 591 km,63,17 820 €
MERCEDES CLASSE A 3,III (2) 180 D INTUITION 7G-DCT,2014,117 790 km,24,18 980 €
AUDI Q8,55 TFSI E S LINE QUATTRO TIPTRONIC,2019,6 298 km,69,131 980 €
SEAT TARRACO,2.0 TDI 150 S/S XCELLENCE 7PL,2018,48 061 km,78,33 750 €
CITROEN C3 (3E GENERATION),III (2) PURETECH 83 S&S YOU,2022,12 km,33,16 660 €
TOYOTA COROLLA 12,XII HYBRIDE 184H 8CV COLLECTION,2019,12 066 km,78,31 590 €
AUDI A6 (5E GENERATION),V 45 TDI 231 QUATTRO S LINE TIPTRONIC,2018,25 300 km,25,54 890 €
AUDI A5 (2E GENERATION),II 2.0 TDI 190 S LINE S TRONIC,2018,90 609 km,95,32 180 €
AUDI A3 (3E GENERATION) SPORTBACK,III (2) SPORTBACK 35 TDI 150 BUSINESS LINE S TRONIC 7,2020,54 414 km,24,30 760 €
CITROEN BERLINGO 2,II (3) 1.6 BLUEHDI 100 S&S BUSINESS M,2016,127 460 km,24,15 450 €
TOYOTA YARIS 3,III (2) 69 VVT-I FRANCE 5P,2015,59 458 km,78,11 480 €
RENAULT MEGANE 4,IV (2) 1.5 BLUE DCI 115 INTENS,2020,12 km,69,25 490 €
PEUGEOT RIFTER,1.5 BLUEHDI 100 S&S STYLE,2022,9 204 km,33,33 970 €
BMW SERIE 1 F20 5 PORTES,(F20) (2) 116D BUSINESS DESIGN,2019,112 261 km,33,19 190 €
DODGE RAM,1500 5.7 V8 390 HEMI CREW CAB LARAMIE,2022,41 km,69,109 030 €
VOLKSWAGEN T-ROC,1.5 TSI 150 EVO R-LINE DSG7,2023,6 300 km,69,36 720 €
AUDI S4 AVANT (4E GENERATION),IV (2) AVANT 3.0 TFSI 333 S4 S TRONIC 7,2011,134 685 km,74,39 340 €
CITROEN C4 PICASSO 2,II 1.6 E-HDI 115 INTENSIVE ETG6,2015,163 995 km,80,11 550 €
MERCEDES CLASSE E 4,IV 350 CDI BLUEEFFICIENCY AVANTGARDE EXECUTIVE 7G-TRONIC,2009,161 284 km,95,20 480 €
PEUGEOT PARTNER 3 FOURGON,III 1.6 BLUEHDI 100 S&S 650KG STAND ASPHALT,2017,80 643 km,66,23 080 €
DS DS 7 CROSSBACK,1.5 BLUEHDI 130 PERFORMANCE LINE+ EAT8,2020,21 243 km,24,45 730 €
PEUGEOT 3008 (2E GENERATION),II (2) BLUEHDI 130 S&S GT PACK EAT8,2020,11 km,45,40 550 €
