Marque;Model;Année;Kilométrage;Code Postal;Prix
BMW X3 G01;(G01) XDRIVE30DA 265 M SPORT;2020;27930;66;61620
VOLKSWAGEN T-CROSS;1.0 TSI 110 CARAT DSG;2020;20570;25;30120
BMW SERIE 5 F11 TOURING;(F11) (2) TOURING 530D XDRIVE 258 EXECUTIVE BVA8;2017;116492;78;32540
NISSAN QASHQAI 2;II 1.5 DCI 110 N-CONNECTA;2015;104610;31;16550
VOLKSWAGEN GOLF 8 R;VIII 2.0 TSI 320 R DSG7;2020;59;92;81300
PORSCHE CAYENNE 3 COUPE;III COUPE E-HYBRID;2018;2199;69;190630
RENAULT GRAND SCENIC 4;IV 1.7 DCI BLUE 120 BUSINESS EDC;2021;58880;28;22890
PEUGEOT 208 (2E GENERATION);II 1.2 PURETECH 100 S&S ACTIVE;2021;20744;61;21940
KIA SPORTAGE 4;IV (2) 1.6 CRDI 115 ISG ACTIVE 2WD;2018;103541;69;19070
PEUGEOT 5008 (2E GENERATION);II 1.2 PURETECH 130 S&S GT LINE E6;2020;35340;69;34690
MASERATI GHIBLI 3;III 3.0 V6 430 S Q4 33CV GRANSPORT AUTO;2019;46617;69;83500
FIAT DUCATO 3;III (2) 3.3 MH2 2.0 MULTIJET 115 PACK PRO NAV;2019;67710;66;24370
PORSCHE 911 TYPE 997 CABRIOLET;(997) CABRIOLET 3.8 355 CARRERA 4S;2007;94285;33;64290
VOLKSWAGEN T-ROC;1.5 TSI 150 EVO FIRST EDITION;2019;59821;69;26540
PEUGEOT 308 (2E GENERATION);II 1.6 BLUEHDI 100 S&S ACTIVE BUSINESS;2015;148830;25;13180
AUDI A5 (2E GENERATION) CABRIOLET;II CABRIOLET 3.0 TDI 218 S LINE QUATTRO S TRONIC 7;2016;86699;30;43080
PEUGEOT 208 (2E GENERATION);II 1.2 PURETECH 75 S&S ACTIVE BUSINESS;2021;23345;78;18040
MERCEDES GLC;220 D EXECUTIVE 4MATIC;2018;91520;24;38510
FIAT 500 C (3E GENERATION);III C E 95 (RED);2022;55;92;24570
RENAULT CLIO 4;IV (2) 1.5 DCI 75 BUSINESS;2018;95499;63;11110
RENAULT KADJAR;1.5 DCI 110 ENERGY INTENS;2019;45951;24;20690
VOLKSWAGEN GOLF 7;VII (2) 1.0 TSI 110 BLUEMOTION TECHNOLOGY SOUND DSG7 3P;2017;12240;76;20790
RENAULT TALISMAN;1.6 DCI 130 ENERGY INITIALE PARIS;2015;69543;37;20860
FIAT TIPO 2;II (2) 1.0 FIREFLY TURBO 100 S/S LIFE PLUS;2022;56;92;22260
RENAULT MEGANE 4 SOCIETE;IV SOCIETE 1.5 DCI 115 BLUE AIR NAV;2018;48110;35;15660
JAGUAR E-PACE;D150 AWD S BVA;2019;100302;24;35980
TOYOTA RAV 4 (5E GENERATION);V HYBRIDE 218 2WD COLLECTION;2018;50898;78;41980
RENAULT SCENIC 3;III 1.9 DCI 130 FAP DYNAMIQUE;2010;142999;77;8130
MINI MINI 3 5P;III 1.5 ONE D 95 EDITION SHOREDITCH 5P;2017;53808;66;22050
PEUGEOT 3008 (2E GENERATION);II 1.5 BLUEHDI 130 S&S ALLURE BUSINESS EAT8;2020;73198;69;29050
OPEL CORSA 6;VI 1.2 75 EDITION 5P;2021;29880;27;16780
PEUGEOT 308 (2E GENERATION);II (2) 1.2 PURETECH 110 S&S 6CV ACTIVE;2022;10486;33;21290
PEUGEOT 2008 (2E GENERATION);II 1.5 BLUEHDI 110 6CV S&S GT;2020;16028;47;31520
MERCEDES SLC AMG;43 AMG 390;2019;4345;77;89150
BMW SERIE 6 F12 CABRIOLET M6;(F12) CABRIOLET M 560 DKG 7 DRIVELOGIC;2013;63684;37;69580
BMW SERIE 3 E92 COUPE;(E92) (2) COUPE 325DA 204 SPORT DESIGN;2011;166924;95;19680
MINI COUNTRYMAN;COOPER D BVA;2014;154265;57;14020
KIA SPORTAGE 4;IV 1.7 CRDI 141 ISG PREMIUM 2WD DCT7;2020;51985;26;25410
MASERATI GHIBLI 3;III 3.0 V6 S Q4;2013;50295;69;50280
PEUGEOT 3008 (2E GENERATION);II 1.6 BLUEHDI 120 S&S ALLURE EAT6;2018;56808;24;27230
SKODA SCALA;1.5 TSI 150 STYLE DSG7;2018;45347;30;23390
