;Marque;Année;Code Postal;Carburant;Emission Co2;Transmission;nbPortes;nbPlace;Kilométrage;Prix
6;BMW;2016;28;Diesel;110-130;Manuelle;5;5;126220;17480
17;BMW;2017;66;Diesel;110-130;Manuelle;5;5;72914;23490
21;BMW;2018;78;Diesel;110-130;Manuelle;5;5;105749;16290
37;BMW;2017;31;Diesel;110-130;Manuelle;5;5;65718;25100
51;BMW;2020;67;Diesel;110-130;Manuelle;5;5;66219;31550
66;BMW;2017;84;Diesel;110-130;Manuelle;5;5;75818;37320
108;BMW;2020;67;Diesel;110-130;Manuelle;5;5;36615;33470
127;BMW;2018;78;Diesel;110-130;Manuelle;5;5;56547;32610
130;BMW;2017;2;Diesel;110-130;Manuelle;5;5;116228;24130
146;BMW;2017;51;Diesel;110-130;Manuelle;5;5;33471;25400
155;BMW;2017;62;Diesel;110-130;Manuelle;5;5;79540;24650
178;BMW;2020;51;Diesel;110-130;Manuelle;5;5;61950;34560
220;BMW;2020;38;Diesel;110-130;Manuelle;5;5;5991;36490
221;BMW;2021;75;Diesel;110-130;Manuelle;5;5;18098;34100
229;BMW;2018;69;Diesel;110-130;Manuelle;5;5;44741;26290
269;BMW;2018;13;Diesel;110-130;Manuelle;5;5;73301;21500
270;BMW;2020;57;Diesel;110-130;Manuelle;5;5;21520;25990
279;BMW;2019;13;Diesel;110-130;Manuelle;5;5;71093;18900
310;BMW;2018;29;Diesel;110-130;Manuelle;5;5;41128;24600
347;BMW;2018;25;Diesel;110-130;Manuelle;5;5;81830;30490
366;BMW;2013;63;Diesel;110-130;Manuelle;5;5;190380;18120
385;BMW;2018;14;Diesel;110-130;Manuelle;5;5;59614;30840
387;BMW;2020;31;Diesel;110-130;Manuelle;5;5;83712;22070
390;BMW;2021;6;Diesel;110-130;Manuelle;5;5;15408;44400
427;BMW;2019;67;Diesel;110-130;Manuelle;5;5;48489;24410
438;BMW;2019;69;Diesel;110-130;Manuelle;5;5;31619;23740
444;BMW;2017;85;Diesel;110-130;Manuelle;5;5;57154;29500
445;BMW;2020;51;Diesel;110-130;Manuelle;5;5;39181;28870
447;BMW;2020;37;Diesel;110-130;Manuelle;5;5;44389;31620
453;BMW;2019;37;Diesel;110-130;Manuelle;5;5;76798;25900
457;BMW;2016;29;Diesel;110-130;Manuelle;5;5;61445;23830
462;BMW;2011;57;Diesel;110-130;Manuelle;5;5;136230;18220
463;BMW;2018;29;Diesel;110-130;Manuelle;5;5;25599;36870
489;BMW;2018;41;Diesel;110-130;Manuelle;5;5;44314;30500
502;BMW;2016;77;Diesel;110-130;Manuelle;5;5;133674;20680
524;BMW;2017;67;Diesel;110-130;Manuelle;5;5;102348;19600
532;BMW;2017;2;Diesel;110-130;Manuelle;5;5;83327;20690
536;BMW;2018;77;Diesel;110-130;Manuelle;5;5;44834;30980
577;BMW;2020;32;Diesel;110-130;Manuelle;5;5;36295;32080
604;BMW;2019;67;Diesel;110-130;Manuelle;5;5;50850;27420
612;BMW;2017;29;Diesel;110-130;Manuelle;5;5;16386;29130
618;BMW;2017;62;Diesel;110-130;Manuelle;5;5;58564;31870
634;BMW;2017;2;Diesel;110-130;Manuelle;5;5;128616;19690
642;BMW;2020;95;Diesel;110-130;Manuelle;5;5;36507;31250
677;BMW;2020;13;Diesel;110-130;Manuelle;5;5;82840;26140
698;BMW;2017;34;Diesel;110-130;Manuelle;5;5;66598;34380
711;BMW;2013;34;Diesel;110-130;Manuelle;5;5;195361;12400
712;BMW;2018;62;Diesel;110-130;Manuelle;5;5;60216;27730
731;BMW;2018;41;Diesel;110-130;Manuelle;5;5;33679;27790
751;BMW;2017;59;Diesel;110-130;Manuelle;5;5;129185;19930
757;BMW;2015;77;Diesel;110-130;Manuelle;5;5;110956;14990
772;BMW;2019;41;Diesel;110-130;Manuelle;5;5;130580;18600
781;BMW;2018;62;Diesel;110-130;Manuelle;5;5;66660;24720
786;BMW;2018;41;Diesel;110-130;Manuelle;5;5;41329;20900
838;BMW;2017;34;Diesel;110-130;Manuelle;5;5;139023;22110
890;BMW;2015;35;Diesel;110-130;Manuelle;5;5;105929;26380
921;BMW;2017;31;Diesel;110-130;Manuelle;5;5;64609;26430
953;BMW;2021;14;Diesel;110-130;Manuelle;5;5;15474;29490
976;BMW;2018;67;Diesel;110-130;Manuelle;5;5;131100;22450
1033;BMW;2020;14;Diesel;110-130;Manuelle;5;5;12386;29680
1044;BMW;2021;14;Diesel;110-130;Manuelle;5;5;18872;28130
1046;BMW;2013;57;Diesel;110-130;Manuelle;5;5;159786;15100
1061;BMW;2020;14;Diesel;110-130;Manuelle;5;5;19272;32580
1079;BMW;2019;68;Diesel;110-130;Manuelle;5;5;64333;33240
1112;BMW;2016;68;Diesel;110-130;Manuelle;5;5;128247;25820
1114;BMW;2008;34;Diesel;110-130;Manuelle;5;5;92800;11580
1124;BMW;2019;54;Diesel;110-130;Manuelle;5;5;53878;19960
1139;BMW;2017;68;Diesel;110-130;Manuelle;5;5;40003;26010
1151;BMW;2012;13;Diesel;110-130;Manuelle;5;5;93861;17090
1154;BMW;2018;68;Diesel;110-130;Manuelle;5;5;19402;27220
1175;BMW;2014;27;Diesel;110-130;Manuelle;5;5;159019;14990
1183;BMW;2013;59;Diesel;110-130;Manuelle;5;5;99710;16150
1192;BMW;2018;12;Diesel;110-130;Manuelle;5;5;88040;22190
1196;BMW;2017;54;Diesel;110-130;Manuelle;5;5;51246;28060
1223;BMW;2019;68;Diesel;110-130;Manuelle;5;5;46434;28999
1225;BMW;2013;57;Diesel;110-130;Manuelle;5;5;135558;14390
1226;BMW;2014;13;Diesel;110-130;Manuelle;5;5;108800;14990
1237;BMW;2018;60;Diesel;110-130;Manuelle;5;5;56830;22990
1260;BMW;2016;77;Diesel;110-130;Manuelle;5;5;111000;19900
1279;BMW;2019;14;Diesel;110-130;Manuelle;5;5;18676;31620
1281;BMW;2008;53;Diesel;110-130;Manuelle;5;5;215000;6500
1287;BMW;2018;63;Diesel;110-130;Manuelle;5;5;52000;21990
1289;BMW;2019;38;Diesel;110-130;Manuelle;5;5;36200;32500
1302;BMW;2010;13;Diesel;110-130;Manuelle;5;5;191917;8470
1350;BMW;2014;85;Diesel;110-130;Manuelle;5;5;189095;11440
1376;BMW;2018;95;Diesel;110-130;Manuelle;5;5;65190;30620
1377;BMW;2016;13;Diesel;110-130;Manuelle;5;5;80586;20920
1394;BMW;2017;1;Diesel;110-130;Manuelle;5;5;53820;30400
1410;BMW;2022;43;Diesel;110-130;Manuelle;5;5;17509;29840
1439;BMW;2019;75;Diesel;110-130;Manuelle;5;5;8223;28870
1442;BMW;2020;26;Diesel;110-130;Manuelle;5;5;23260;34080
1445;BMW;2017;14;Diesel;110-130;Manuelle;5;5;72564;26730
1513;BMW;2014;72;Diesel;110-130;Manuelle;5;5;92687;20320
1526;BMW;2017;75;Diesel;110-130;Manuelle;5;5;35483;34300
1551;BMW;2017;60;Diesel;110-130;Manuelle;5;5;77844;26730
1557;BMW;2017;24;Diesel;110-130;Manuelle;5;5;148740;19410
1567;BMW;2019;87;Diesel;110-130;Manuelle;5;5;50480;22370
1608;BMW;2014;93;Diesel;110-130;Manuelle;5;5;110122;20570
1630;BMW;2018;38;Diesel;110-130;Manuelle;5;5;68900;20890
1631;BMW;2019;31;Diesel;110-130;Manuelle;5;5;56053;19990
1632;BMW;2015;93;Diesel;110-130;Manuelle;5;5;122893;20230
1665;BMW;2019;27;Diesel;110-130;Manuelle;5;5;75859;31500
1680;BMW;2017;17;Diesel;110-130;Manuelle;5;5;61467;20040
1692;BMW;2017;76;Diesel;110-130;Manuelle;5;5;112000;20040
1714;BMW;2016;35;Diesel;110-130;Manuelle;5;5;97900;16490
1736;BMW;2018;91;Diesel;110-130;Manuelle;5;5;58228;24970
1759;BMW;2016;57;Diesel;110-130;Manuelle;5;5;89769;22970
1785;BMW;2015;93;Diesel;110-130;Manuelle;5;5;104525;15190
1800;BMW;2017;57;Diesel;110-130;Manuelle;5;5;87350;15470
1811;BMW;2016;31;Diesel;110-130;Manuelle;5;5;170284;10990
1816;BMW;2021;59;Diesel;110-130;Manuelle;5;5;12824;24850
1849;BMW;2013;76;Diesel;110-130;Manuelle;5;5;122554;19500
1923;BMW;2015;78;Diesel;110-130;Manuelle;5;5;100105;18750
1984;BMW;2018;38;Diesel;110-130;Manuelle;5;5;61700;28900
1992;BMW;2016;51;Diesel;110-130;Manuelle;5;5;126912;20490
2020;BMW;2016;45;Diesel;110-130;Manuelle;5;5;98716;24920
2043;BMW;2016;93;Diesel;110-130;Manuelle;5;5;134870;16980
2149;BMW;2014;1;Diesel;110-130;Manuelle;5;5;143785;16330
2191;BMW;2017;1;Diesel;110-130;Manuelle;5;5;158427;24970
2215;BMW;2018;91;Diesel;110-130;Manuelle;5;5;53054;27161
2243;BMW;2013;77;Diesel;110-130;Manuelle;5;5;107835;16990
2328;BMW;2017;78;Diesel;110-130;Manuelle;5;5;60122;39280
2424;BMW;2017;93;Diesel;110-130;Manuelle;5;5;97152;22410
2455;BMW;2019;3;Diesel;110-130;Manuelle;5;5;73109;21820
2551;BMW;2017;92;Diesel;110-130;Manuelle;5;5;56028;19580
2590;BMW;2019;6;Diesel;110-130;Manuelle;5;5;47496;23180
2604;BMW;2017;35;Diesel;110-130;Manuelle;5;5;104639;20320
2693;BMW;2019;95;Diesel;110-130;Manuelle;5;5;45901;27330
2694;BMW;2018;84;Diesel;110-130;Manuelle;5;5;66569;30980
2708;BMW;2019;93;Diesel;110-130;Manuelle;5;5;99576;19850
2745;BMW;2018;78;Diesel;110-130;Manuelle;5;5;63198;32150
2779;BMW;2018;91;Diesel;110-130;Manuelle;5;5;55840;23880
2794;BMW;2018;13;Diesel;110-130;Manuelle;5;5;51510;28990
2831;BMW;2020;76;Diesel;110-130;Manuelle;5;5;42920;38160
2844;BMW;2021;76;Diesel;110-130;Manuelle;5;5;42874;31060
2864;BMW;2016;59;Diesel;110-130;Manuelle;5;5;82721;26670
2869;BMW;2017;31;Diesel;110-130;Manuelle;5;5;98401;28100
2920;BMW;2018;27;Diesel;110-130;Manuelle;5;5;30129;40520
2923;BMW;2013;40;Diesel;110-130;Manuelle;5;5;180638;16100
2954;BMW;2020;35;Diesel;110-130;Manuelle;5;5;109298;23570
2963;BMW;2017;56;Diesel;110-130;Manuelle;5;5;144527;19350
2964;BMW;2013;72;Diesel;110-130;Manuelle;5;5;178760;15800
2976;BMW;2017;35;Diesel;110-130;Manuelle;5;5;141480;22780
2998;BMW;2007;35;Diesel;110-130;Manuelle;5;5;261960;7750
3021;BMW;2008;29;Diesel;110-130;Manuelle;5;5;309388;7750
3082;BMW;2007;35;Diesel;110-130;Manuelle;5;5;265960;8520
3102;BMW;2016;44;Diesel;110-130;Manuelle;5;5;82922;21510
3118;BMW;2017;59;Diesel;110-130;Manuelle;5;5;37999;28080
3119;BMW;2020;40;Diesel;110-130;Manuelle;5;5;113904;27580
3169;BMW;2019;47;Diesel;110-130;Manuelle;5;5;59594;33580
3170;BMW;2018;59;Diesel;110-130;Manuelle;5;5;69171;22590
3173;BMW;2017;59;Diesel;110-130;Manuelle;5;5;57651;23730
3213;BMW;2018;59;Diesel;110-130;Manuelle;5;5;53987;27990
3217;BMW;2017;95;Diesel;110-130;Manuelle;5;5;99897;30710
3219;BMW;2018;55;Diesel;110-130;Manuelle;5;5;84185;24180
3220;BMW;2019;14;Diesel;110-130;Manuelle;5;5;56539;27480
3225;BMW;2018;13;Diesel;110-130;Manuelle;5;5;40153;36140
3273;BMW;2019;40;Diesel;110-130;Manuelle;5;5;36302;23200
3352;BMW;2018;45;Diesel;110-130;Manuelle;5;5;75177;21770
3400;BMW;2017;31;Diesel;110-130;Manuelle;5;5;103145;31300
3406;BMW;2017;6;Diesel;110-130;Manuelle;5;5;36852;42130
3407;BMW;2018;14;Diesel;110-130;Manuelle;5;5;82419;23080
3460;BMW;2019;59;Diesel;110-130;Manuelle;5;5;59841;20690
3469;BMW;2016;74;Diesel;110-130;Manuelle;5;5;108698;29480
3474;BMW;2018;51;Diesel;110-130;Manuelle;5;5;57108;24090
3544;BMW;2020;13;Diesel;110-130;Manuelle;5;5;89540;21490
3557;BMW;2015;51;Diesel;110-130;Manuelle;5;5;127330;17830
3561;BMW;2015;53;Diesel;110-130;Manuelle;5;5;214375;13730
3566;BMW;2017;13;Diesel;110-130;Manuelle;5;5;142162;19510
3575;BMW;2018;63;Diesel;110-130;Manuelle;5;5;43669;19400
3585;BMW;2017;76;Diesel;110-130;Manuelle;5;5;111708;22590
3652;BMW;2017;28;Diesel;110-130;Manuelle;5;5;135059;21040
3695;BMW;2017;86;Diesel;110-130;Manuelle;5;5;137153;19930
3741;BMW;2018;13;Diesel;110-130;Manuelle;5;5;46277;31500
3757;BMW;2017;13;Diesel;110-130;Manuelle;5;5;111290;23900
3761;BMW;2020;76;Diesel;110-130;Manuelle;5;5;25957;25280
3836;BMW;2018;24;Diesel;110-130;Manuelle;5;5;104328;23740
3880;BMW;2017;40;Diesel;110-130;Manuelle;5;5;96848;24820
3895;BMW;2017;33;Diesel;110-130;Manuelle;5;5;48988;27250
3913;BMW;2019;95;Diesel;110-130;Manuelle;5;5;88825;18130
3926;BMW;2018;13;Diesel;110-130;Manuelle;5;5;137585;24450
3941;BMW;2019;38;Diesel;110-130;Manuelle;5;5;90405;20880
3945;BMW;2018;51;Diesel;110-130;Manuelle;5;5;129109;28420
3951;BMW;2016;59;Diesel;110-130;Manuelle;5;5;139860;21070
