Marque,Model,Année,Kilométrage,Code Postal,Prix
PEUGEOT 308 (3E GENERATION),III 1.2 PURETECH 130 S&S GT PACK EAT8,2022,10 km,69,34 990 €
AUDI Q5,2.0 TDI 170 DPF AMBITION LUXE QUATTRO S TRONIC 7,2010,95 177 km,55,22 490 €
AUDI A3 (3E GENERATION) CABRIOLET,III CABRIOLET 1.8 TFSI 180 AMBITION LUXE S TRONIC,2014,54 600 km,92,26 990 €
FIAT 500 (3E GENERATION),III 42KWH 3CV ICONE,2021,10 km,92,25 430 €
AUDI Q3 (2E GENERATION),II 35 TFSI 150 S LINE S TRONIC 7,2019,15 425 km,95,38 990 €
KIA NIRO,(3) 1.6 GDI HYBRIDE 141 LOUNGE DCT6,2022,10 km,69,29 270 €
TOYOTA COROLLA 12,XII HYBRIDE 122H COLLECTION,2019,79 900 km,25,18 500 €
OPEL GRANDLAND X,1.5 DIESEL 130 7CV ELITE,2020,21 644 km,26,25 990 €
CITROEN GRAND C4 SPACETOURER,1.5 BLUEHDI 130 S&S BVM6 SHINE PACK,2021,31 394 km,47,26 990 €
AUDI TT 3 RS,III COUPE 2.5 TFSI 400 QUATTRO S TRONIC 7,2016,95 500 km,25,51 990 €
MAZDA MX5 (4E GENERATION) ST,IV ST 1.5 SKYACTIV-G 132 DYNAMIQUE,2019,19 490 km,71,23 790 €
PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S ACTIVE,2020,29 000 km,33,16 790 €
BMW SERIE 1 F20 5 PORTES,(F20) (2) 118I SPORT BVA8 5P,2018,36 150 km,78,21 490 €
RENAULT KANGOO 2 SOCIETE,II 1.5 DCI 85 EXPRESSION PRO,2019,31 350 km,35,15 690 €
SKODA FABIA 3,III 1.0 TSI 95 CLEVER,2018,75 562 km,77,11 270 €
ASTON MARTIN DB11,V12,2017,7 828 km,67,159 950 €
AUDI A3 (3E GENERATION) SPORTBACK,III (2) SPORTBACK 1.0 TFSI 115 DESIGN,2018,46 000 km,24,20 890 €
