;Marque;Année;Code Postal;Carburant;Emission Co2;Transmission;nbPortes;nbPlace;Kilométrage;Prix
0;OPEL;2017;31;Diesel;130;Manuelle;5;5;119000;13900
1;VOLKSWAGEN;2011;55;Diesel;130;Manuelle;5;5;72330;13490
2;AUDI;2016;24;Diesel;130;Manuelle;5;5;114100;17990
3;OPEL;2016;66;Diesel;130;Manuelle;5;5;121019;10990
4;HONDA;2018;69;Diesel;130;Manuelle;5;5;88653;21300
5;OPEL;2020;55;Diesel;130;Manuelle;5;5;26569;19490
6;BMW;2016;28;Diesel;130;Manuelle;5;5;126220;17480
7;VOLKSWAGEN;2020;62;Diesel;130;Manuelle;5;5;13500;24990
8;MERCEDES;2016;66;Diesel;130;Manuelle;5;5;93050;21890
9;DACIA;2018;69;Diesel;130;Manuelle;5;5;36680;16490
10;DACIA;2013;11;Diesel;130;Manuelle;5;5;56264;10990
11;PEUGEOT;2016;24;Diesel;130;Manuelle;5;5;120096;13490
12;ALFA;2017;26;Diesel;130;Manuelle;5;5;89545;14490
13;JAGUAR;2019;66;Diesel;130;Manuelle;5;5;36578;24890
14;FORD;2018;35;Diesel;130;Manuelle;5;5;68812;20990
15;RENAULT;2019;91;Diesel;130;Manuelle;5;5;50426;18400
16;OPEL;2021;55;Diesel;130;Manuelle;5;5;15;20970
17;BMW;2017;66;Diesel;130;Manuelle;5;5;72914;23490
18;MINI;2012;66;Diesel;130;Manuelle;5;5;97100;16490
19;DACIA;2015;36;Diesel;130;Manuelle;5;5;117475;11090
20;LAND;2017;38;Diesel;130;Manuelle;5;5;73783;26490
21;BMW;2018;78;Diesel;130;Manuelle;5;5;105749;16290
22;CITROEN;2015;80;Diesel;130;Manuelle;5;5;182872;8890
23;MERCEDES;2014;66;Diesel;130;Manuelle;5;5;89742;17890
24;FORD;2020;91;Diesel;130;Manuelle;5;5;65789;13500
25;AUDI;2018;57;Diesel;130;Manuelle;5;5;59490;21480
26;JEEP;2018;24;Diesel;130;Manuelle;5;5;57177;20990
27;FIAT;2021;24;Diesel;130;Manuelle;5;5;100;21990
28;CITROEN;2021;47;Diesel;130;Manuelle;5;5;19802;20900
29;PEUGEOT;2014;80;Diesel;130;Manuelle;5;5;148783;10900
30;FIAT;2019;91;Diesel;130;Manuelle;5;5;33920;13200
31;VOLKSWAGEN;2017;57;Diesel;130;Manuelle;5;5;84000;15880
32;FORD;2016;35;Diesel;130;Manuelle;5;5;84953;20280
33;VOLKSWAGEN;2018;14;Diesel;130;Manuelle;5;5;22470;24660
34;SEAT;2016;6;Diesel;130;Manuelle;5;5;70018;20330
35;CITROEN;2021;30;Diesel;130;Manuelle;5;5;40026;16820
36;CITROEN;2020;13;Diesel;130;Manuelle;5;5;177;30660
37;BMW;2017;31;Diesel;130;Manuelle;5;5;65718;25100
38;JEEP;2020;30;Diesel;130;Manuelle;5;5;56119;28110
39;CITROEN;2022;77;Diesel;130;Manuelle;5;5;28316;23570
40;PEUGEOT;2013;47;Diesel;130;Manuelle;5;5;141434;11780
41;JAGUAR;2018;14;Diesel;130;Manuelle;5;5;53294;38660
42;RENAULT;2020;77;Diesel;130;Manuelle;5;5;84142;17010
43;OPEL;2019;26;Diesel;130;Manuelle;5;5;106198;21510
44;VOLKSWAGEN;2014;10;Diesel;130;Manuelle;5;5;149833;16360
45;PEUGEOT;2021;47;Diesel;130;Manuelle;5;5;23858;23520
46;AUDI;2017;31;Diesel;130;Manuelle;5;5;110172;23860
47;SEAT;2020;30;Diesel;130;Manuelle;5;5;2220;19960
48;CITROEN;2021;67;Diesel;130;Manuelle;5;5;62190;11970
