Marque,Model,Année,Code Postal,Carburant,Emission Co2,Transmission,nbPortes,nbPlace,Kilométrage,Prix
OPEL INSIGNIA 2 SPORTS TOURER,II SPORTS TOURER 1.6 ECOTEC DIESEL 136 ELITE,2017,31,Diesel,110-130,Manuelle,5,5,119 000 ,13 900 
VOLKSWAGEN TOURAN 2,II 1.6 TDI 105 FAP BLUEMOTION TECHNOLOGY CARAT,2011,55,Diesel,110-130,Manuelle,5,5,72 330 ,13 490 
AUDI Q3,(2) 2.0 TDI 120 AMBIENTE,2016,24,Diesel,110-130,Manuelle,5,5,114 100 ,17 990 
OPEL MOKKA,1.6 CDTI 136 4X2 ECOFLEX S/S COSMO PACK,2016,66,Diesel,110-130,Manuelle,5,5,121 019 ,10 990 
HONDA CR-V 4,IV (2) 1.6 I-DTEC 120 2WD EXECUTIVE NAVI PLUS,2018,69,Diesel,110-130,Manuelle,5,5,88 653 ,21 300 
OPEL ASTRA 5,V (2) 1.5 DIESEL 122 ULTIMATE,2020,55,Diesel,110-130,Manuelle,5,5,26 569 ,19 490 
BMW SERIE 3 F31 TOURING,(F31) (2) TOURING 318D 150 LUXURY,2016,28,Diesel,110-130,Manuelle,5,5,126 220 ,17 480 
VOLKSWAGEN GOLF 8,VIII 2.0 TDI SCR 115 LIFE BUSINESS 1ST BV6,2020,62,Diesel,110-130,Manuelle,5,5,13 500 ,24 990 
MERCEDES GLA,180 D FASCINATION,2016,66,Diesel,110-130,Manuelle,5,5,93 050 ,21 890 
DACIA DUSTER 2,II 1.5 DCI 110 CONFORT 4X2,2018,69,Diesel,110-130,Manuelle,5,5,36 680 ,16 490 
DACIA DUSTER,1.5 DCI 110 FAP 4X2 PRESTIGE 2,2013,11,Diesel,110-130,Manuelle,5,5,56 264 ,10 990 
PEUGEOT 3008,(2) 2.0 BLUEHDI 150 S&S 8CV ACTIVE BUSINESS,2016,24,Diesel,110-130,Manuelle,5,5,120 096 ,13 490 
ALFA ROMEO GIULIETTA 3,III (3) 2.0 JTDM 150 S/S GIULIETTA,2017,26,Diesel,110-130,Manuelle,5,5,89 545 ,14 490 
JAGUAR XE,2.0D 180 9CV PURE,2019,66,Diesel,110-130,Manuelle,5,5,36 578 ,24 890 
FORD KUGA 2,II (2) 2.0 TDCI 150 S&S 4X2 ST LINE,2018,35,Diesel,110-130,Manuelle,5,5,68 812 ,20 990 
RENAULT SCENIC 4,IV 1.7 BLUE DCI 120 BUSINESS,2019,91,Diesel,110-130,Manuelle,5,5,50 426 ,18 400 
OPEL CROSSLAND,(2) 1.5 DIESEL 110 ELEGANCE,2021,55,Diesel,110-130,Manuelle,5,5,15 ,20 970 
BMW X1 F48,(F48) XDRIVE18D BUSINESS,2017,66,Diesel,110-130,Manuelle,5,5,72 914 ,23 490 
